"name","type","description"
"school","string","student's school (binary: "GP" Gabriel Pereira or "MS" Mousinho da Silveira)"
"sex","string","student's sex (binary: "F" female or "M" male)"
"age","integer","student's age (numeric: from 15 to 22)"
"address","string","student's home address type (binary: "U" urban or "R" rural)"
"famsize","string","family size (binary: "LE3" less or equal to 3 or "GT3" greater than 3)"
"Pstatus","string","parent's cohabitation status (binary: "T" living together or "A" apart)"
"Medu","integer","mother's education (numeric: 0: none,   1: primary education (4th grade),  2: 5th to 9th grade,  3 _ secondary education or 4 _ higher education)"
"Fedu","integer","father's education (numeric: 0 - none,   1 - primary education (4th grade),  2 _ 5th to 9th grade,  3 _ secondary education or 4 _ higher education)"
"Mjob","string","mother's job (nominal: "teacher",  "health" care related,  civil "services" (e.g. administrative or police),  "at_home" or "other")"
"Fjob","string","father's job (nominal: "teacher",  "health" care related,  civil "services" (e.g. administrative or police), "at_home" or "other")"
"reason","string","reason to choose this school (nominal: close to "home", school "reputation", "course" preference or "other")"
"guardian","string","student's guardian (nominal: "mother",  "father" or "other")"
"traveltime","integer","home to school travel time (numeric: 1 - <15 min., 2 - 15 to 30 min., 3 - 30 min. to 1 hour, or 4 - >1 hour)"
"studytime","integer","weekly study time (numeric: 1 - <2 hours, 2 - 2 to 5 hours, 3 - 5 to 10 hours, or 4 - >10 hours)"
"failures","integer","number of past class failures (numeric: n if 1<=n<3,  else 4)"
"schoolsup","string","extra educational support (binary: yes or no)"
"famsup","string","family educational support (binary: yes or no)"
"paid","string","extra paid classes within the course subject (Math or Portuguese) (binary: yes or no)"
"activities","string","extra-curricular activities (binary: yes or no)"
"nursery","string","attended nursery school (binary: yes or no)"
"higher","string","wants to take higher education (binary: yes or no)"
"internet","string","Internet access at home (binary: yes or no)"
"romantic","string","with a romantic relationship (binary: yes or no)"
"famrel","integer","quality of family relationships (numeric: from 1 - very bad to 5 - excellent)"
"freetime","integer","free time after school (numeric: from 1 - very low to 5 - very high)"
"goout","integer","going out with friends (numeric: from 1 - very low to 5 - very high)"
"Dalc","integer","workday alcohol consumption (numeric: from 1 - very low to 5 - very high)"
"Walc","integer","weekend alcohol consumption (numeric: from 1 - very low to 5 - very high)"
"health","integer","current health status (numeric: from 1 - very bad to 5 - very good)"
"absences","integer","number of school absences (numeric: from 0 to 93)"
"G1","integer","first period grade (numeric: from 0 to 20)"
"G2","integer","second period grade (numeric: from 0 to 20)"
"G3","integer","Predictor Class: final grade (numeric: from 0 to 20)"
